Name,Comment
David P,A thread for Stelvio owners
cue2,But there are no Stelvia to vote for!
David P,Please take a few minutes to cast your vote to decide the overall winner for 2018https://www.alfaowner.com/Forum/poll-room/1174277-ao-detailing-car-of-the-year-2018-a.html.​
PapaSmurf,Finally washed it after 4 months.
cue2,"Looks good.Mine will be getting a thorough Swissvax treatment when the weather warms a bit; Paint , plastic and leather ."
markies,washing mine tomorrow all being well
cue2,"Got mine all dirty yesterday on the lanes of Kent and Surrey. Taking my son and his teammates to the Olympic Velodrome again first thing tomorrow, like 06.40 so don't think I'll be into washing it when we get back."
ianrm,Today I have washed him
PapaSmurf,"Fixed that for you.All Alfas are women, FACT!"
Gator1,"Haha, I will go with 'it'. Love your 'motto': WITHOUT HEART WE WOULD BE MERE BMWs"
markies,I washed her but didn't rinse her backside properly
ianrm,He could be transgender or gender neutral :judge::biglaugh:
Tilum,"I had the official OE Carbon Fibre V grille (PN 50903642) fitted to the Stelvio Qf on Friday, replacing the original silver one. It looks much more in keeping with the spec of the car (as there's barely any silver on the exterior). I'll post some pics when I get the chance!"
PapaSmurf,"That moment in the supermarket when a random stranger comes up to you and says ""love your Stelvio, great looking car"""
cue2,"An Italian friend who I haven’t seen for a while described the new Tonale to me as better than the Stelvio which “looks like a doped Giulietta.” I replied to him that I’d doped my Giulietta and he said “very, very, very nice”. I will discuss this with him at Geneva next Tuesday...."
cue2,Drove to Gatwick and parked up in short stay to visit Geneva.Here’s a pic of the side of the F1 car.
leraunch,Took it down the skip yesterday. Had to dispose of our 17 year old 3 piece sofa and footstool. After hammering it down a little it fitted in with both seats down. Got a few weird looks from people with their white vans ass pulled up in the Stelvio and carrying a sofa out the back!:rofl:
cue2,"I got a comment from one of the operatives at the tip, reminding me the Stelvio will be expensive to run!"
cue2,Just treated the leather to a Swissvax cleaning. Will follow up with the Leather Milk as per their instructions. Those Alfa logos on the headrests are nice.
markies,She hasn't been washed or vac'd in over a month. [hanging my head in SHAME]
David P,A thread for Stelvio owners
W1NST,"Had the wheel colour changed to black and removable tow bar put on before I collect it next week. Know the black alloys aren’t everyone’s cup of tea, but I liked them and I fancied a change from silver and anthracite which I have had in the past."
W1NST,"Today I have bought my Stelvio and brought it home, that’s what I’ve done to my Stelvio today!"
cue2,I drove to Goodwood FOS today in the Stelvio. I then went straight to do a bit of cycle coaching with the youth section of our club.Interesting festival but for me the mix of Alfa and Jeep did not work. A comment about the Tonale from a young lady on the stand was odd to both my wife and I. She said the car has had mixed reactions..
markies,Gave her a much overdue wash
markies,Mixed reactions.... Wonder why. I have not been to FOS but in the showrooms the Jeep presence dilutes / distracts/ I don't really know the right word - the Alfa image. It's like a glorious landscape photograph ruined by a bin lorry driving past
W1NST,Headrest coat hanger fitted for my suit jackets to stop the buggers getting creased when I am visiting clients.
W1NST,Fitted new silicon protective key covers off eBay from China. They had the cheek to charge me £3.18 including postage for 2 and I got them in less than 2 weeks!!
Mash1138,Managed to update Maps.over 10GB - ??On the old tom tom live 2 in the Giuletta was only 3GB for all of Europe? Is there more than just the maps updated?
leraunch,Took my lad to his end of primary school prom last month having cleaned and polished it all up. He had his tux on and all looked the biz think his class mates were suitably impressed. However that was until another girl turned up and stole his thunder in a Lightning Mcqueen replica car. Must admit i was envious:hehe:
Mash1138,Gave the Milano a good wash..
markies,Brushed out the boot after a trip to the tip! Thankfully the boot liner makes it so much easier
cue2,I used mine to go to the tip too this week. 7 trips of garden waste. Cleaned up perfectly as I used the boot floor upside down instead of carpet side up.
cue2,I put the Thule bike rack on the roofbars. There’s a big “NO” for use with carbon bike forks. That’s two of my bikes and my son’s bike disallowed. Lucky I didn’t sell the alloy framed bike.
W1NST,Any pictures Cue - are you keeping the bars and bike holders on permanently? I don’t know whether to put mine on that I had for the CRV or get a tow bar one.
cue2,I could take the bars etc off between uses but take bikes to track session every Monday. Scary when I got there last night and luckily spotted somebody had forgotten to get the height restriction out of the way. Could’ve been very expensive indeed. There’d be damage to the car plus £3k for the bike...
cue2,Here’s the setup. Front wheel is removed from bike and put in its bag inside.
Tremolo Arm,"Washed and updated the software on my Milano and ordered these badges, which will go where the clover leaf badge is on that Quadrifoglio model.https://www.ebay.co.uk/itm/Alfa-Rom...310969?hash=item211866cc79:g:-u0AAOSwPhdU50wv"
Mash1138,Updated Software/Maps. I wish you could get what exactly is updated in maps or software...Fitted K&N air filter.
SickStu,Fitted cheapo Aliexpress carbon effect V frame grille cover with a view to getting a real one if I liked it. Looks pretty good to me.Also got the badge housing cover but removed it as I prefer the original.
cue2,"Drove my son and his friends to a Lazer Combat session and the main guy there complimented me on the Stelvio, saying it came top in all the tests. Then let me off ten quid because he didn’t have the change. Next offered to let me join in free of charge, when he was charging other parents. The power of the Stelvio!"
David P,A thread for Stelvio owners
Sweeney70,Updated my maps while taking the missus to do an IKEA trip - i;d rather sit in the car park for the duration than go into that place.Then stuck it in Red mode for the drive home which I don;t do often enough.Gonna do the software update on Tuesday - the day before I take it in to the dealer for the volumetric sensor replacement to sort the alarm issues out.
Alfie155,"What have I done to my Stelvio?Only bloomin' this...Got caught in roadworks temporary traffic lights near Seaford, Sussex a week or so ago and they were stuck on red for at least 12 mins. As I was right next to centre bollards I couldn't perform the escape manoeuvre until the cars fore and aft gave up and did their 3 point turns. It was very dark, I was fed up, not familiar with the area and just clipped the opposite curb. :grumpy:Anyone else attempted a DIY repair of these gorgeous wheels yet? I refurbed a set of Speedlines for my old 155 Silverstone once but that was relatively easy as I sprayed them black afterwards which hid most of the infilling."
cue2,Very upsetting but I reckon you’d find it less scary if you take off the loose bits and build up in the scuff with silver paint from a touch up pen.
David P,"Voting now open for the previous entrieshttps://www.alfaowner.com/Forum/poll-room/1187345-october-2019-ao-detailing-competition-vote.htmlVote for whoever you think deserves to win :thumbs:November Detailing competition now open for entrieshttps://www.alfaowner.com/Forum/car...ember-2019-detailing-competition-entries.htmlDon't let the title put you off, it doesn't have to be a full detail, a wash & a clean will do, if the car looks good take some pics & submit them, please include some info on what you have done to the car :thumbs:Check out the updated rules herehttps://www.alfaowner.com/Forum/car-detailing/745785-monthly-detailing-competition-rules.html"
markies,A decent wash. Hopefully come weekend the inside will get some attention - feed the leather etc... and that is not a euphemism....
cue2,"Bought a second Thule bike carrier for the Alfa roof-rails from a bike shop then realised I’d have to use two keys. However, I realised you can get sets of four the same so I could have just one key. I went to an online shop which happens to be reasonably local , giving me an excuse to drive!They were able to sell me a pair of lock barrels to match the first carrier, saving me buying £35 of new barrels. You also need a master key to remove the barrels so it would have been £42.Very helpful for a £17 sale, I’d recommend themRoof RacksWelcome to theroofracks.co.ukwebsite that is specific to absolutely everything from Thule and Rhino. This includes roof bars and racks, roof boxes, bike racks, water and wintersports carriers, luggage and all other associated products.Roofracks.co.ukhas been selling Thule prodcts from their...roofracks.co.uk"
David P,"Time for the AO COTY, see here for details, rules & to submit your nominationshttps://www.alfaowner.com/Forum/gen...r-of-the-year-2019-the-nomination-thread.html"
cue2,Got a quote for GAP insurance for years 2 and 3 as the insurance covers the first year. With the likely effects of emissions zones on resale value it may be a good idea...
cue2,The weather was so nice this morning I took the opportunity to break open a new jar of Swissvax Best of Show. Lovely to use and very effective stuff. I’ll park facing the other way tomorrow so I can do the other side. That’s the side with the fuel flap so hopefully I can do that without it coming off.
David P,"Voting now open for the previous entrieshttps://www.alfaowner.com/threads/?-november-2019-ao-detailing-competition-vote-?.1188175/Vote for whoever you think deserves to win.December Detailing competition now open for entrieshttps://www.alfaowner.com/threads/december-2019-detailing-competition-entries.1188176/Don't let the title put you off, it doesn't have to be a full detail, a wash & a clean will do, if the car looks good take some pics & submit them, please include some info on what you have done to the car.Check out the updated rules herehttps://www.alfaowner.com/Forum/car-detailing/745785-monthly-detailing-competition-rules.html"
W1NST,GGot any pictures with the badges on please?
cue2,"Finished the Swissvax Best in Show , then treated it with Extra Gloss Protection. It’s so shiny!Took some cardboard boxes down to the waste recycling centre and there was lady with a white Stelvio loan car from Thames Tunbridge Wells. Red leather interior."
David P,"Voting now open for the previous entriesDecember 2019 AO Detailing Competition VoteVote for whoever you think deserves to win :thumbs:January Detailing competition now open for entriesJanuary 2020 Detailing Competition EntriesDon't let the title put you off, it doesn't have to be a full detail, a wash & a clean will do, if the car looks good take some pics & submit them, please include some info on what you have done to the car :thumbs:Check out the updated rules hereMonthly Detailing Competition Rules"
cue2,It’s beading well but I’m under the impression the SUV doesn’t have many fans on here.
markies,Winter tyres fitted!
