Name,Comment,Date
TurboHatchback,"nickfrog said:wemorgan said:TurboHatchback said:Woop, yet another ugly jacked up uncomfortable 4cyl diesel hatchback. I know they have to build one as the market gets what the market wants and it sounds like they've done the best job they could given the stupid requirements but why people want this sort of rubbish mystifies me.Because not every one is the same as you. It's quite simple.I agree - I really wouldn't want a Jeep Grand Cherokee CRD Overland but I have no issues with anyone wanting one.People are welcome to buy whatever they want, I just don't understand the thought process that leads to buying one of these nor the set of requirements for which this sort of vehicle is the logical answer. I understand why people buy most sorts of cars, even highly undesireable ones as there is a set of requirements for which most vehicles might be optimal but not these faux-fashion-4x4 things.Clearly lots of people want them now though as they're astoundingly popular. nickfrog said: wemorgan said: TurboHatchback said: ","February 28, 2017"
underphil,"TurboHatchback said:Woop, yet another ugly jacked up uncomfortable 4cyl diesel hatchback. I know they have to build one as the market gets what the market wants and it sounds like they've done the best job they could given the stupid requirements but why people want this sort of rubbish mystifies me.remind me which hatchback has been 'jacked up'? TurboHatchback said: ","February 28, 2017"
dickyf,"i stumbled across a launch of this in Courmeyeur last week, looked good in the flesh, the front end especially and the Alfa styled seats. ","February 28, 2017"
nickfrog,"Kitchski said:Some people who care too much how others perceive them might insist on trying to cram everything into a tool less-suited to the jobThat's quite true but conversely if one finds the SUV better suited for their needs yet don't care about perception, should they get something else in case someone accuses them of caring about image ? Kitchski said: ","February 28, 2017"
Kitchski,"nickfrog said:Kitchski said:Some people who care too much how others perceive them might insist on trying to cram everything into a tool less-suited to the jobThat's quite true but conversely if one finds the SUV better suited for their needs yet don't care about perception, should they get something else in case someone accuses them of caring about image ?No, not at all otherwise you'd be guilty of the same thing. If an SUV was the best tool for your job, you'd get one despite the fact most petrolheads would think it loserishThe bit I struggle with is trying to think of a role an SUV can play, but nothing else does it as well. They're not really any better at going off-road than a regular car, and they're not as good on road as a regular car.Chaffuer-service for middle-class school mums wearing skin-tight leggings (but really shouldn't be) who need transportation to Costa each morning after dropping their little darlings off, despite the fact the school is 50yds from their front door? Maybe?Keeping on topic though, the Alfa is probably the SUV I'd pick of all those available, if someone had a gun pointed at my head. nickfrog said: Kitchski said: ","February 28, 2017"
nickfrog,"Kitchski said:No, not at all otherwise you'd be guilty of the same thing. If an SUV was the best tool for your job, you'd get one despite the fact most petrolheads would think it loserishThe bit I struggle with is trying to think of a role an SUV can play, but nothing else does it as well. They're not really any better at going off-road than a regular car, and they're not as good on road as a regular car.Chaffuer-service for middle-class school mums wearing skin-tight leggings (but really shouldn't be) who need transportation to Costa each morning after dropping their little darlings off, despite the fact the school is 50yds from their front door? Maybe?Adding a collection of clichés is amusing but not convincing - I can't think of anything better than our Tiguan 150 TDI match for family duties - happy to consider any new alternatives that you can come up with at £5k total over 2 years ?Edited by nickfrog on Tuesday 28th February 14:12 Kitchski said: Edited by nickfrog on Tuesday 28th February 14:12 ","February 28, 2017"
PistonBroker,"nickfrog said:Kitchski said:No, not at all otherwise you'd be guilty of the same thing. If an SUV was the best tool for your job, you'd get one despite the fact most petrolheads would think it loserishThe bit I struggle with is trying to think of a role an SUV can play, but nothing else does it as well. They're not really any better at going off-road than a regular car, and they're not as good on road as a regular car.Chaffuer-service for middle-class school mums wearing skin-tight leggings (but really shouldn't be) who need transportation to Costa each morning after dropping their little darlings off, despite the fact the school is 50yds from their front door? Maybe?Adding a collection of clichés is amusing but not convincing - I can't think of anything better than our Tiguan 150 TDI match for family duties - happy to consider any new alternatives that you can come up with at £5k total over 2 years ?Edited by nickfrog on Tuesday 28th February 14:12+1 ;-) nickfrog said: Kitchski said: Edited by nickfrog on Tuesday 28th February 14:12 ","February 28, 2017"
KarlMac,Not something I have a great interest in but I'd take that over Maserati's effort . ,"February 28, 2017"
Guvernator,"Matt Bird said:Sorry! Stelvio is 4680mm long, 1670mm high and 2160mm wide. X3 is 4657/1678/1881 (suspect width is without mirrors here) and F-Pace is 4731/1667/1936 (again I think without mirrors). Alfa made no mention of hybrids at all and has clearly invested a lot in the diesel here, with a focus still on it. That there will be a 180hp version with two-wheel drive in time suggests that will be pitched as the eco version.MattOK thanks Matt, so looks like slightly smaller than an F-Pace but bigger than an X3 (though not as tall).I also understand it will take a while for companies to make the switch away from diesel but releasing a brand new diesel car just now seems like madness. Although I'm guessing this is Euro 6 compliant so may be safe for a few years? Matt Bird said: ","February 28, 2017"
big_rob_sydney,"Matt Bird said:Sorry! Stelvio is 4680mm long, 1670mm high and 2160mm wide. X3 is 4657/1678/1881 (suspect width is without mirrors here) and F-Pace is 4731/1667/1936 (again I think without mirrors). Alfa made no mention of hybrids at all and has clearly invested a lot in the diesel here, with a focus still on it. That there will be a 180hp version with two-wheel drive in time suggests that will be pitched as the eco version.MattBloody hell, 2160mm wide!?!How on earth will these things fit into the typical shoebox that is a british garage???More to the point, how will they fit in a standard sized parking spot? And what of doors getting dinged by other people needing to access their own cars before you come along and creep into their space due to your own leviathan proportions...?I get that its light compared to some others, but it does seem to be quite wide. Matt Bird said: ","February 28, 2017"
Kitchski,"nickfrog said:Adding a collection of clichés is amusing but not convincing - I can't think of anything better than our Tiguan 150 TDI match for family duties - happy to consider any new alternatives that you can come up with at £5k total over 2 years ?Edited by nickfrog on Tuesday 28th February 14:12You don't need to convince me as to why you bought a particular car chief, it's your money, your choice! I personally don't see the advantages of an SUV over a normal estate car. You obviously do. We can leave it there, it doesn't need elaborating nickfrog said: Edited by nickfrog on Tuesday 28th February 14:12 ","February 28, 2017"
PhantomPH,"Kitchski said:nickfrog said:Adding a collection of clichés is amusing but not convincing - I can't think of anything better than our Tiguan 150 TDI match for family duties - happy to consider any new alternatives that you can come up with at £5k total over 2 years ?Edited by nickfrog on Tuesday 28th February 14:12You don't need to convince me as to why you bought a particular car chief, it's your money, your choice! I personally don't see the advantages of an SUV over a normal estate car. You obviously do. We can leave it there, it doesn't need elaboratingYou say that, but you seem intent on judging people by the car they CHOOSE to drive/own. The cliché'd statements above prove that. Saying someone is free to make their own choice and then making iffy judgements when people do, seems somewhat churlish to me.I am not completely sold on the Alfa - something just doesn't draw me in enough to make me want one...yet. They might look pretty cool in the metal tho. I'm still looking forward to seeing the pricing for the RR Velar as I think that is what will be replacing my current chav-wagon/chelsea tractor/other cliché vehicle description. Kitchski said: nickfrog said: Edited by nickfrog on Tuesday 28th February 14:12 ","February 28, 2017"
wal 45,"I just shouldn't but I've liked the look of this since I saw the first one, something the Giulia (even in QV form) has failed to do yet. The proportions look right to me and so much better than the default white goods that usually define this class of SUV.It also looks as if a Giulia sportwagon isn't going to happen now so this could be the only option if you need to transport a 5 person family in an Alfa. Look forward to actually seeing a physical car but I really think a petrol Stelvio will be an eventual successor for my 159 SW.Good effort Alfa and pleased to see it drives half decently, maybe there is a future for Alfa Romeo after all. ","February 28, 2017"
nickfrog,"Kitchski said:You don't need to convince me as to why you bought a particular car chief, it's your money, your choice! I personally don't see the advantages of an SUV over a normal estate car. You obviously do. We can leave it there, it doesn't need elaboratingNot trying to convince you. You can't see the benefits compared to an estate - I can't see ANY benefits that an estate would have compared to an SUV. But remember you're the one elaborating with a bizarre collection of obsolete clichés at 14.00, so I am quite happy to leave it there. Kitchski said: ","February 28, 2017"
nickfrog,"PhantomPH said:You say that, but you seem intent on judging people by the car they CHOOSE to drive/own. The cliché'd statements above prove that. Saying someone is free to make their own choice and then making iffy judgements when people do, seems somewhat churlish to me.Indeed. Quite bizarre. PhantomPH said: ","February 28, 2017"
Motormatt,"nickfrog said:Kitchski said:You don't need to convince me as to why you bought a particular car chief, it's your money, your choice! I personally don't see the advantages of an SUV over a normal estate car. You obviously do. We can leave it there, it doesn't need elaboratingNot trying to convince you. You can't see the benefits compared to an estate - I can't see ANY benefits that an estate would have compared to an SUV. But remember you're the one elaborating with a bizarre collection of obsolete clichés at 14.00, so I am quite happy to leave it there.Without wanting to inflame this debate any further, I know we are now living in a new world of 'Alternative Facts' and it may be true to say that you cant see any benefits of an SUV over an Estate. However, in the real world of real facts with their basis in real science, surely you cannot dispute that (in relation to a similarly powered and priced SUV alternative) an estate would:be lighter,have a lower COG,have better performancebe more aerodynamicgive better economybe dynamically superior as a result of the above.Unless you don't see any of these things as benefits? nickfrog said: Kitchski said: ","February 28, 2017"
Guvernator,"I can think of 3 advantages of an SUV over an estate off the top of my head.1) Better visibility. The higher driving position lets you see over other traffic and better judge the corners of the car, especially since the largely female target demographic are shorter on average. My missus rates this as one of the most important advantages of an SUV.2) Easier to get small kids in and out of the back and shopping in an out of the boot. Both my missus and I have suffered from back issues from having to stick heavy toddlers in the back seat. This problem is greatly reduced in an SUV as you are at the right height to plop them straight even rather than bending over.3) Ride comfort, the bigger tires and larger suspension travel often mean they have a comfier ride, much more important in a family wagon then whether it will corner on it's mirrors. Also the urban suv's might not be so great at going off-road but they are certainly capable enough to handle our pot whole ridden, crap roads and better than a long, low estate. ","February 28, 2017"
Dale487,I think the pricing is going to be key to its success - the petrol needs to be £35-37.5K in my opinion to have enough clear air between it and the 4 cylinder Macan and the diesel needs to still under cut the base Macan. ,"February 28, 2017"
Kitchski,"Guvernator said:I'm not a fan of SUV's either but for the purposes of getting an average family from A to B they really are one of the best options due to stuff already stated above, well it's either that or an MPV! So all the scorn on PH, either the majority of PH'ers are rich bachelor singletons or powerfully built company directors who pack the kids off to boarding school or let the nanny kart the kids around so don't have to worry about the practicalities of moving kids around.The SUV is still no-where near as good as an MPV at carting the brood around. You'd struggle to get three decent kids car seats across the back of that, so unless you've got two kids or less, you'd still be better off in an MPV. And if you've got two kids or less, a normal saloon or estate would do the job fine. We've only got an S-Max because one of our kids split into two before they were born, the cheeky feckers.Some people who care too much how others perceive them might insist on trying to cram everything into a tool less-suited to the job, but the MPV is just made for families, pure and simple. They're brilliant at it. Guvernator said: ","February 28, 2017"
_Neal_,"All sounds very promising, and as you say, a must for Alfa to have a good product in this sector. I hope this sells well, as that should (hopefully) mean the continued return to form for Alfa across the board.PS - Isn't it ""envelop"" rather than ""envelope""? ","February 28, 2017"
Kitchski,"It's probably one of the best-proportioned cars on the market, in my opinion. That picture of the two of them side-by-side (grey one and red one) could easily be of two Focus-sized hatchbacks. They don't look big at all. Quite impressive stuff, though I don't like the SUV 'thing' myself. ","February 28, 2017"
Motormatt,"nickfrog said:TurboHatchback said:nickfrog said:wemorgan said:TurboHatchback said:Woop, yet another ugly jacked up uncomfortable 4cyl diesel hatchback. I know they have to build one as the market gets what the market wants and it sounds like they've done the best job they could given the stupid requirements but why people want this sort of rubbish mystifies me.Because not every one is the same as you. It's quite simple.I agree - I really wouldn't want a Jeep Grand Cherokee CRD Overland but I have no issues with anyone wanting one.People are welcome to buy whatever they want, I just don't understand the thought process that leads to buying one of these nor the set of requirements for which this sort of vehicle is the logical answer. I understand why people buy most sorts of cars, even highly undesireable ones as there is a set of requirements for which most vehicles might be optimal but not these faux-fashion-4x4 things.Clearly lots of people want them now though as they're astoundingly popular.The thought process is simple. They tend to be a better functional alternative for transport than traditional estates or saloons for many people. They're slightly shorter than an ""equivalent"" estate yet offer similar interior space ; they offer a higher driving position which is brilliant for visibility, touring, ease of access. They tend to have taller sidewalls and longer travel suspension which is a good combo for comfort.They are dynamically superb despite the high COG but won't quite match a lower car, which is no big deal as they're not track cars. They use a little more fuel which is offset by better residuals. No downsides IME. I am sure they are also bought for fashion but that shouldn't come into it objectively ; many buy them despite the image as they don't really care about what others think.Quite right, they are incredibly popular because most people outside of PH value daily ease of use and function above driving dynamics, and don't tend to over analyse the image.Having said that, whilst I'm still able bodied with good eyesignt, I'll take an estate over an quasi-SUV. I'm not prepared to sacrifice the lower COG, reduced weight, increased performance and efficiency, better handling and in many cases better refinement that an estate offers over its SUV equivalent in order to get a high seating position and marginally easier access, but I can understand why some people would. nickfrog said: TurboHatchback said: nickfrog said: wemorgan said: TurboHatchback said: ","February 28, 2017"
nickfrog,"TurboHatchback said:nickfrog said:wemorgan said:TurboHatchback said:Woop, yet another ugly jacked up uncomfortable 4cyl diesel hatchback. I know they have to build one as the market gets what the market wants and it sounds like they've done the best job they could given the stupid requirements but why people want this sort of rubbish mystifies me.Because not every one is the same as you. It's quite simple.I agree - I really wouldn't want a Jeep Grand Cherokee CRD Overland but I have no issues with anyone wanting one.People are welcome to buy whatever they want, I just don't understand the thought process that leads to buying one of these nor the set of requirements for which this sort of vehicle is the logical answer. I understand why people buy most sorts of cars, even highly undesireable ones as there is a set of requirements for which most vehicles might be optimal but not these faux-fashion-4x4 things.Clearly lots of people want them now though as they're astoundingly popular.The thought process is simple. They tend to be a better functional alternative for transport than traditional estates or saloons for many people. They're slightly shorter than an ""equivalent"" estate yet offer similar interior space ; they offer a higher driving position which is brilliant for visibility, touring, ease of access. They tend to have taller sidewalls and longer travel suspension which is a good combo for comfort.They are dynamically superb despite the high COG but won't quite match a lower car, which is no big deal as they're not track cars. They use a little more fuel which is offset by better residuals. No downsides IME. I am sure they are also bought for fashion but that shouldn't come into it objectively ; many buy them despite the image as they don't really care about what others think. TurboHatchback said: nickfrog said: wemorgan said: TurboHatchback said: ","February 28, 2017"
jamespink,"PhantomPH said:Article said:Still, the vast majority of UK buyers will be having the diesel anywayWill we, tho? Whilst that might have been true even last week, the fact that there is massive 'diesel bad' rhetoric ATM and increased charges in London and potential bans elsewhere, I am not so sure.To me (I know it's an Alfa...), the petrol engine might be the right option. It's fast enough without being intrusive. Remember that this car is unlikely to be revved out to the max all the time. In this sector (non-halo model) I would imagine the petrol engine's key playing card is it's refinement. Can I go fast without loads of noise and fuss and....I too question this slavish UK diesel leaning. The Nox emissions in many UK cities are still at EU ""fine-able"" levels and according to the last report I read, show no improvement since the late 80's (take a look at the exhaust of any London taxi) whereas petrol engine emissions, aside from being less toxic to start with, have improved by 20% to 30%. Aside from being a mainly lack-luster alternative to petrol or petrol hibrid, has diesel not had its day on emissions alone? PhantomPH said: Article said: ","February 28, 2017"
Guvernator,"I'm interested in this car for the OH but do have a few concerns1) ""UK buyers will mostly buy the diesel""? Why make statements like this when diesel is obviously on the way out, in fact why are manufacturers making new diesels at all when the political tide is obviously changing? I know this applies to other manufacturers too but they at least seem to be releasing hybrid versions of their popular ranges now.2) What size is this? The article compares it from everything from an F-pace (pretty huge) to an X3 (pretty small). I wasn't sure what size segment this SUV was aimed at previously and after this article, I'm still non the wiser.3) Great point made above on residuals, Alfa need to back these with proper finance deals so the monthly figures are attractive. If they don't prop up the usually woeful Alfa depreciation somehow or make the list price cheaper than it's rivals, people will just go and buy the Macan or the Evoque instead, both of which have outstanding residuals in their class. ","February 28, 2017"
Spoof,"Matt Bird said:Spoof said:In normal conditions the Q4 all-wheel drive system is 100 per cent rear drive, with up to 50 per cent able to go forwards; without any slippery surfaces to test this on, there was little impression of power being directed around on this drive. 'Surefooted' is probably what you would call it.Must have been that 'high grip' snow...There wasn't any snow, honest! Rather misleading pics. Road drive only this time.I just found that comment with those pictures rather amusing. Couldn't help myself. Matt Bird said: Spoof said: ","February 28, 2017"
Matt Bird,"Spoof said:In normal conditions the Q4 all-wheel drive system is 100 per cent rear drive, with up to 50 per cent able to go forwards; without any slippery surfaces to test this on, there was little impression of power being directed around on this drive. 'Surefooted' is probably what you would call it.Must have been that 'high grip' snow...There wasn't any snow, honest! Rather misleading pics. Road drive only this time. Spoof said: ","February 28, 2017"
theholygrail,"""with Range Rovers now only purchased by sweaty stressed middle aged women""my favourite PH comment of recent years! Brilliant. ","February 28, 2017"
zeb,"great_kahn said:An acceptable alternative to the repugnant Bavarian Sierra brigade, and with Range Rovers now only purchased by sweaty stressed middle aged women, this could be a winner.worked for the diplomatic corps for quite a while I see...... great_kahn said: ","February 28, 2017"
M1C,"I think the Guiliaesque styling really works on this, it looks good ","February 28, 2017"
thegreenhell,"I find this strangely appealing, even more so than the Giulia. Exciting times for the Alfa brand. ","February 28, 2017"
nickfrog,"wemorgan said:TurboHatchback said:Woop, yet another ugly jacked up uncomfortable 4cyl diesel hatchback. I know they have to build one as the market gets what the market wants and it sounds like they've done the best job they could given the stupid requirements but why people want this sort of rubbish mystifies me.Because not every one is the same as you. It's quite simple.I agree - I really wouldn't want a Jeep Grand Cherokee CRD Overland but I have no issues with anyone wanting one. wemorgan said: TurboHatchback said: ","February 28, 2017"
