Name,Comment,Date
rapidcool,"Not rules, just some thoughts for your consideration. Please be nice to other forum members. Unfortunately every web forum attracts spammers and trolls. Try to avoid discussions with them and report it to admin. To post photos: please post your photo to one of the free web hosting sites, copy the URL, select the Image icon above your post text box, paste the URL and return. Please avoid posting large photo files as these take up bandwidth. Do you have any other useful tips for forum members?","October 4, 2014"
Chopper,I knew it was too good to be true!,"October 10, 2013"
rapidcool,"Those who find it difficult to post pictures, may like to check this thread for more detailed information >http://www.myaudiq5....s-on-the-forum/","October 17, 2013"
beafraid,The links to his images are to an external site. It is likely he turned them upside down himself in protest of being kicked (he's that kind of guy!).Sent fromAutoGuide.com Free App,"October 4, 2014"
Rahoo,Kaine - gone but never forgotten...,"August 26, 2011"
missile,"When I lived in Netherlands, they had the green wave. A great system which aided traffic flow and deterred drivers racing between lights. Traffic lights were timed so that those travelling at the the posted speed limit were not stopped. Which cities have that in UK?Could a 'green wave' be coming to traffic lights near you? - Highways (gloucestershire.gov.uk)I would suggest this is a way to reduce congestion and emissions in city centre, better than hated LEZ.","July 26, 2023"
mwcltd,We are third world as regards most automobile technology.,"July 26, 2023"
missile,"One thing I agree with Trump, we are rapidly becoming a third world country","July 26, 2023"
mwcltd,I am getting eventually my first Q5. Could someone please tell me what the approximate lead time is from the Sao Paulo plant to the UK dealer.,"July 26, 2023"
Bulla,My dealer just told me to expect 6-8 weeks for delivery via Emden after the build week.,"March 1, 2022"
mwcltd,My Q5 is scheduled for build week 12 (21st March) and the estimated delivery to the dealer is by the end of May. The dealer informed me that they have not been notified of any specification changes. The charger has been installed so all I need now is something to plug the cable in to.,"March 4, 2022"
missile,It will be worth the wait,"March 4, 2022"
Bulla,I’m build week 15 in mid April so will watch your progress with interest. 👍,"March 4, 2022"
Workshy,I ordered mine on the 19th March and was given provisional week 16 build and estimated delivery 31st july,"March 25, 2022"
Bulla,Fingers crossed! 🤞🏼,"March 25, 2022"
mwcltd,My Q5 was supposed to be built last week. My dealer has informed me that there is no tracking information on the manufacturing computer. She is checking with Audi sales over the next couple of days.,"March 28, 2022"
Workshy,Hopefully it’s been built 🤞🤞I had a call today and week 16 has been confirmed !,"March 28, 2022"
mwcltd,"As a side issue, the new Q5 hybrid has 4*EV modes, EV, Hybrid, Battery Hold and Charge. The Charge option enables the engine to charge the hybrid batteries. I do not know yet how much of the engines 'resource' is used when Charge is selected.","March 28, 2022"
Bulla,That’s good news that your build is going ahead. What spec do you have on order?,"March 28, 2022"
Workshy,45tsfi edition 1 comfort and sound pack 21” wheels in Daytona grey,"March 28, 2022"
Bulla,Nice spec!,"March 28, 2022"
Quinny,Love my edition oneSent from my iPad using Tapatalk,"March 29, 2022"
Workshy,I hate this waiting lol I wish I was more patient 😂,"March 29, 2022"
Quinny,It’ll be worth the wait 🤗,"March 29, 2022"
mwcltd,"My dealer told me today that its at stage 30, waiting to be transported to the ship.","March 30, 2022"
Bulla,Excellent news that your order is progressing! 😊,"March 30, 2022"
Workshy,Just spoke to my dealer and my cars built waiting to get on the ship 👍👍,"April 19, 2022"
mwcltd,I've heard nothing yet! Envyyyyyyyyyyyyyyyyyyy.,"April 19, 2022"
mwcltd,I am getting eventually my first Q5. Could someone please tell me what the approximate lead time is from the Sao Paulo plant to the UK dealer.,"July 26, 2023"
Workshy,I thought yours was waiting to get on a ship ??,"April 19, 2022"
mwcltd,"Yes, the Titanic.....","April 19, 2022"
Bulla,Nor have I but fingers crossed it was built last week. 🤞🏼,"April 19, 2022"
mwcltd,Audi customer services gave me the wrong information. Mine is still at level 20.,"April 19, 2022"
Workshy,Maybe it’s something to do with it being a hybrid ?I should have my vin number tomorrow !,"April 19, 2022"
mwcltd,Maybe that's the case. I will provide you with an update as and when.With the vin you can add your new Q5 to the myAudi app.,"April 19, 2022"
Workshy,👍👍 thanks for that,"April 19, 2022"
Workshy,Got my email today with vin number and status saying in transit (to ship) whatever that means,"April 20, 2022"
Bulla,Just received an email from Audi U.K. to say my Q5 has been built and has completed the final checks. Fingers crossed for a swift transit to the U.K.!😊,"April 21, 2022"
Bulla,Mine could be on the same ship as yours. 😊,"April 21, 2022"
mwcltd,My dealer could get no sense out of Audi UK sales when they were called. They then sent an email and got some answers. My Q5 has been built but there are some parts that need to be fitted but are not in stock. I have no more details and I am not sure if this is caused because my Q5 is a 55 tfsi e Competition which has now been removed from the UK price list. No one can give an eta as to when it will ship so it is now down to waiting for the next update.,"April 26, 2022"
gw82,I’m in the same situation with the same car on order.,"April 26, 2022"
rifleman,I enquired with an Audi Dealer in London today - they are estimating a 32 week wait for the Q5. Order now and it might be delivered by Santa Claus if you're lucky,"April 27, 2022"
mwcltd,"I spoke to my dealer today and my Q5 is still waiting for components. What I did find out from Audi Sales UK is that the components are coming through but not at the rate that they are needed. Also, I was told that the specification I ordered in October 2021 will be met.","April 29, 2022"
SVA,"First post.Ordered a Q5 55 TFSI e in the last week of March with an estimated delivery date of October/November (the dealer added ""if you are lucky""). I don't know the build week yet but will be extremely happy with delivery before Christmas.","May 4, 2022"
mwcltd,"I ordered the same in October 2021. At this point in time it has been built but it is waiting for a few components to be fitted. Being realistic, I believe that you will get yours before the end of this calendar year.","May 4, 2022"
Workshy,Good news for me mines landed in Germany not too long now 🤞,"May 7, 2022"
Workshy,Also found out today my dealer changed my order for a previous order on exactly the same spec car that was cancelled I was wondering why it was so quick👍👍to my dealer,"May 7, 2022"
Bulla,Nice one! 😊,"May 7, 2022"
mwcltd,I am getting eventually my first Q5. Could someone please tell me what the approximate lead time is from the Sao Paulo plant to the UK dealer.,"July 26, 2023"
mwcltd,Congratulations. If only.,"May 7, 2022"
Workshy,Anymore updates on yours bulla ??,"May 7, 2022"
Bulla,Sadly not. Just the email on 21 April saying it had cleared the final inspection. I’m hoping it’s made it’s way onto a ship by now though. 🤞,"May 7, 2022"
Sim,Update on my car for those interested email yesterday saying it is in the uk this was a build 8week car ordered aug 21👍💥,"May 10, 2022"
Bulla,Won’t be too long now then!😎Did you also get an email when your car arrived in Germany?,"May 10, 2022"
Workshy,Watching boats lol,"May 10, 2022"
Sim,"No , I just got one saying it was in transit on march 30th then same again on April 23rd","May 10, 2022"
Sim,"This is my first q5 , annual mileage 10k can any body give service advise ?should it be on yearly or variable","May 10, 2022"
Bulla,This must be very frustrating.,"May 10, 2022"
mwcltd,"Frustrating it is, however there is a plus side. I keep on asking my dealer to include extra items FOC and they always say yes. Next time I will ask if they can include a new RS6 FOC.","May 10, 2022"
Workshy,I got an email from Audi uk saying my cars on a boat to the uk not too long now 🤞🤞,"May 16, 2022"
mwcltd,"Excellent, the difficult bit has been done so hopefully the rest is plain sailing. BTW what configuration have you gone for? I am no further forward but I wait with baited breath.","May 16, 2022"
Workshy,I’ve gone for an edition 1 comfort and sound 45tfsi in Daytona grey with 21” wheels,"May 16, 2022"
mwcltd,"Very nice, especially the colour. Maybe mine is taking longer because its a hybrid.","May 16, 2022"
Workshy,That’s all I can think it is hopefully yours won’t be too much longer 🤞🤞🤞,"May 16, 2022"
Bulla,This morning apparently the system is showing my Q5 as “In Transit to Ship” in Mexico despite having received the completed final inspection email 4 weeks ago. 🙄,"May 17, 2022"
