Name,Comment,Date
Chrismawa,The initial message was deleted from this topic on 08 February 2023 at 09:48 ,"February 07, 2023"
Bobupndown,"I've never owned one but my dad and brother have had them in various vag cars.They have had no issues but service them at the recommend 40k mile intervals. Like every mechanical device, look after it, oil is cheaper and easier to replace than metal. ","February 07, 2023"
Chrismawa,Thanks. Freelander 2's have caught my eye now and reading up on them they seem pretty reliable. Does anyone have any thoughts on Q5 vs Freelander 2? ,"February 07, 2023"
Scrump,"No personal experience but I recall that freelanders can have a failure of the 4wd system which leaves them Front wheel drive, not sure if was sorted on later models - might be worth a bit of research to see if it is common and if it is easy fix. ","February 07, 2023"
caiss4,"I've got a Q53.0 TFSI with DSG gearbox.The car is now 10 years old with 65,000 miles and absolutely no issues with the DSG box (in fact no issue at all except for a recent corroded wire on the fan pack - famous last words )When the car was about 4 years old the Audi specialist I use did advise changing the gearbox oil and then discovered this particular one was sealed for life so it has seen no maintenance and behaves exactly as it did when new.ETA: as for use they are excellent as a slush box, if Sport mode is available then it really sharpens performance plus driving on the paddles is good too. My only complaint is it can decide to default to auto mode rather too quickly if you don't make a manual input.Edited by caiss4 on Tuesday 7th February 13:29 Edited by caiss4 on Tuesday 7th February 13:29 ","February 07, 2023"
richardxjr,"Chrismawa said:Thanks. Freelander 2's have caught my eye now and reading up on them they seem pretty reliable. Does anyone have any thoughts on Q5 vs Freelander 2?Done 30k+ over the last 5 years in our Auto FL2 TD4 HSE. Only faults are a couple of leccy door locks are playing up. I'd go for a later facelift one without tints if possible. I really rate them, no leaks or rust on a Land Rover ??! We tow 1500kgs easily and (when not towing) hoover up a 500 mile regular Scotland jaunt without refuelling. Cambelt service at 10yrs old and also do all the trans fluids at same time (not in LR schedule of course)Not driven a Q5 to compare though. Chrismawa said: ","February 07, 2023"
trevalvole,"Scrump said:No personal experience but I recall that freelanders can have a failure of the 4wd system which leaves them Front wheel drive, not sure if was sorted on later models - might be worth a bit of research to see if it is common and if it is easy fix.Which version of the Freelander does your comment apply to? I ask as I recall that the Freelander 2 had little in common with other LR vehicles and, perhaps consequently, is known as probably the most reliable SUV they've made. Scrump said: ","February 07, 2023"
richardxjr,"trevalvole said:Scrump said:No personal experience but I recall that freelanders can have a failure of the 4wd system which leaves them Front wheel drive, not sure if was sorted on later models - might be worth a bit of research to see if it is common and if it is easy fix.Which version of the Freelander does your comment apply to? I ask as I recall that the Freelander 2 had little in common with other LR vehicles and, perhaps consequently, is known as probably the most reliable SUV they've made.Agree the FL2 is a whole lot better than the original. But, Haldex can throw up a trans error which is a cue to get it serviced by a specialist. On just over 90k at 12yo I had a couple of error messages (when towing in that mad 40c in the summer), but since then it got a bit of a workout in the recent snow and not a peep.As said, there's no schedule for changing trans, PTU, diff and Haldex fluids (sealed for life ) but it would pay to change these at 10 years.ETA I've not used these guys but loads of useful info here https://www.freelanderspecialist.com/Edited by richardxjr on Tuesday 7th February 15:37 trevalvole said: Scrump said: Edited by richardxjr on Tuesday 7th February 15:37 ","February 07, 2023"
Scrump,"trevalvole said:Which version of the Freelander does your comment apply to? I ask as I recall that the Freelander 2 had little in common with other LR vehicles and, perhaps consequently, is known as probably the most reliable SUV they've made.I was not sure so searched my favourite motoring forum and found this:https://www.pistonheads.com/gassing/topic.asp?h=0&...seems it may be Freelander 1 I was reading about. trevalvole said: ","February 07, 2023"
Tam_Mullen,"trevalvole said:Which version of the Freelander does your comment apply to? I ask as I recall that the Freelander 2 had little in common with other LR vehicles and, perhaps consequently, is known as probably the most reliable SUV they've made.Their comment almost certainly applies to the Freelander 1, cant remember what exactly used to go wrong but many many of them ended up with the rear prop removed and in FWD mode only.If the FL2 was one of the most reliable vehicles theyve ever made then my dads must have been a Friday afternoon car, what a pile of st it was. He had it for 14 months and it was constantly in the garage, mostly with electrical gremlins. Eventually a turbo or injector or something went and enough was enough, traded in for a Touareg which has been literally faultless (and a nicer place to be) for about 5 years now. trevalvole said: ","February 07, 2023"
richardxjr,"Yes, it must have been a Friday one! ","February 07, 2023"
Macron,"caiss4 said:I've got a Q53.0 TFSI with DSG gearbox.Ooh, interesting, how do you find it? I could imagine it's either adequately quick and reasonable on fuel for it, or not as fast as you'd like and thirsty! caiss4 said: ","February 07, 2023"
Chrismawa,I put a post up on the Freelander FB group and I think theyve put me off them nowManual Q5 seems the best option I think. ,"February 07, 2023"
TheNSA,"Hi everyone. Need some advice. I’ve always bought new or nearly new and it’s that time again to change car.My previous two cars were a Hyundai IX35 and then a Renault Kadjar. I’m a large guy and like a big car.This time round I was all set on a nearly new Hyundai Tucson or Santa Fe, however I’ve stumbled across a 3yr old top of the range, top spec Audi Q5 S Line Plus that’s in my price range. However it has 82k miles on the clock.My mate who is a car salesman (boo hiss) says that is nothing for this car.What do you think? I really need impartial advice.The car has full Audi service history. ","February 03, 2018"
Deerfoot,TheNSA said:What do you think? I really need impartial advice.How long do you intend to keep it? What's your annual mileage? TheNSA said: ,"February 03, 2018"
TheNSA,I intend to keep it 2 to 3 years. Annually mileage maybe 15k or so.Thanks. ,"February 03, 2018"
