Name,Comment,Date
arbit,"Hi,I am looking to replace my current BMW E92 330i by a X3 M40i due to the arrival of a baby and as I’d also like a more comfortable ride.Is there anything you would advise me to particularly look out for in a used x3 M40i? I was looking for sth from 2018 or newer with no more than 20k miles. Probably best for peace of mind to go for a sale from a BMW approved dealer so that I get their warranty? Used prices seem to be usually around £38k.An extra that is absolutely necessary is the adaptive suspension is my understanding. Is there anything else you’d recommend? I think what would be nice are HUD, Harmann Kardon sounds system and wireless charging.Thanks for your help! ","March 27, 2021"
RBrown,"Hi. I have March 2018 X3 M40i. It was one of the first in UK.I love it - it is a great family wagon and gives you huge smiles!In terms of extras. Definitely go for adaptive suspension- the ride on 20 inch wheels is very comfortable. In terms of other extras I have - H&K speakers, tinted rear glass, acoustic glass (great extra!), folding side mirrors, lumbar support and space saver wheel (so as you can drive on non RFTs knowing you have a spare!).In terms of warranty - I have just taken out BMW approved extended warranty at £500 for year. As this includes roadside assistance, it gives you peace of mind and I think it’s worth it.I’m based in Glasgow and second hand supply seems low. I have had a few dealers trying to get my car. I may be looking to sell my car soon, so let me know if you need more info. I would be looking for less than £38k! My car has 19.5k miles. It is immaculate as I really look after my cars - and don’t let kids eat in the car! I’ve attached a photo - please let me know if you need any more info the M40i. Happy to help!!Edited by RBrown on Saturday 27th March 17:12Edited by RBrown on Saturday 27th March 18:05 Edited by RBrown on Saturday 27th March 17:12 Edited by RBrown on Saturday 27th March 18:05 ","March 27, 2021"
cossy400,"Sorry im in for this as we are planning on getting rid of our X4 soon as lock down is over and these and the 40d ones are on the radar.Just need to test drive one to make sure MRS400 is happy,l then pull the trigger ","March 27, 2021"
RBrown,My wife has previous generation (F25) X3 20d. She far prefers the M40i. It’s a much smoother ride and bumbles about fine and if you want to extend your right ankle...the power comes through and the smiles start!!!I should have said that I got mine debadged. Far prefer the sleeper look!!! ,"March 27, 2021"
Cobnapint,"I'm amazed (and pleased) to hear the ride is smooth with 20s on the M40i. I was lead to believe the ride was firmish with the normal M Sport suspension, and firmer still on the M40i & D. ","March 29, 2021"
Coley88,We have an X3 M40i and both absolutely adore it.I could go into detail.Just do it. ,"April 02, 2021"
london_v,"21s make the car. I have adaptive suspension which makes the car comfortable enough.As for other options, HK sound is good (& sounds better if you pull the ASD fuse) and HUD is a must.Great do it all car which flies under the radar. ","April 02, 2021"
Paw,"I have a 68 plate (so less pops and crackles) M40i and its a great car, its on 20's with std suspension so its firm but it does handle.I would say that the Pan Roof is a must it gives so much light into the car. I did not go for HDC (but it was a used car) as I could not see it with sunglasses on, but I agree on the HK as the sound quality is not super.My wife was a little scared of it at first, due to coming a diesel but now loves it.Paw ","April 09, 2021"
Cobnapint,"Just for interest, I took a 30d M-Sport out today, on non-run flat 20s with adaptive and the ride was better than my Cayenne on 21s with air suspension. Very impressed, apart from the fact I couldn't get comfy in the driver's seat. ","April 15, 2021"
arbit,"Now that I have finally sold my trusted BMW E92 330i, the X3 M40i seems to be very hard to come by. Especially with decent spec and BMW approved, prices have gone up by another few grand since I last looked... ","June 26, 2021"
justtourin1,"I bought one a few weeks back, so far so good. My key requirements were adaptive suspension, pano roof, HUD and lumber support seats. Good luck with your search.Edited by justtourin1 on Saturday 26th June 21:21 Edited by justtourin1 on Saturday 26th June 21:21 ","June 26, 2021"
MarkGArgyle,"I also got an M40i a month or so ago having looked for weeks, finally finding the new model on a 20 plate with tech and pro pack, the great lumbar sports seats, adaptive and HUD (another one of those options that once you have will never lose). They are about but hard to come by if you are picky on spec - Cardiff would not budge on a 69 plate 8k miles older model at £44k, got this up country for £41k with higher 17k miles on it. Had to buy iti black which I swore i would never do againIt is a thirsty bugger though doing 22mpg since I got it. Can’t wait to see what I get towing the caravan once I get the towbar fitted.I have HK but it doesn’t sound anywhere as good as in my 3tourer. What is the fuse trick mentioned up above?Anyway pic below of the drug mobile as my wife calls it. Get one they are a fantastic all rounder especially as a one car household.[url]|https://thumbsnap.com/6QarfdLP[/url]Edited by MarkGArgyle on Sunday 27th June 11:36 Edited by MarkGArgyle on Sunday 27th June 11:36 ","June 27, 2021"
AlmostUseful,Those seats look glorious. ,"June 27, 2021"
arbit,"That was good value at £41k!Dealers are ramping up prices as well now, I am sure the below was listed for £40k but is not advertised at £44k.https://www.autotrader.co.uk/car-details/202106234...This one seems decent in terms of spechttps://www.autotrader.co.uk/car-details/202106173...This one as well but it's not BMW approvedhttps://www.autotrader.co.uk/car-details/202106244... ","June 27, 2021"
