Name,Comment,Date,Model
Gumpclipper,"Good morning all,I am looking at buying my first Porsche.Is there any advice you would give for essential Macan S options?I am also looking to potentially use Porsche finance, reading some of the older posts there seems to be limited to zero negotiation on rates and discounts. Has anyone any recent experience? Will probably be using Porsche Stockport.Any advice is appreciated.Thanks! ","October 10, 2021",Porsche Macan
Voodoo Blue,"I’m not going to offer an opinion on spec as this is pretty subjective but would suggest you try to see and drive a few different cars to form an idea of what you want. The salesperson will almost certainly suggest some “essential “ options to help with the sale of the car once you’re done with it but it is up to you if you really want or need them.As far as discounts go, they’re not unheard of but being new to the brand and the shortage of new car availability I’d suggest that getting one would be very unlikely. But no harm trying even if it means getting a few freebie’s. I’m told the current waiting time is around 9 months for a new order so be prepared for that as well.Porsche finance isn’t the most competitive and there are other providers that will do a better deal so definitely worth shopping around to see what’s available.Other that that you might want to pop over to https://www.macanforums.co.uk. They are a very knowledgeable and friendly bunch who discuss this very topic on a regular basis so will probably prove quite helpful in your quest. ","October 10, 2021",Porsche Macan
Gumpclipper,Fantastic info. Thank you! Will take a look at the Macan forum.Cheers ,"October 10, 2021",Porsche Macan
TheBMWDriver,"Right now 1% is best you can get on the macan.Re specI find 10k in options makes it a nice car. For me Air suspension, 18 ways, full leather, pan roof and radar are the important big ticket items ","October 21, 2021",Porsche Macan
neilf,"My tip would be to get your name on the deposit list at an OPC ASAP. That way you’ll be in the queue while you make a decision.My Dad put a deposit on a Macan S in June, still hasn’t had an allocation. Current guesstimate for delivery is Q1 2022. Chatting with same OPC this week, said they are telling all new order requests (all Porsche models, not just Macan) that earliest delivery will be Q4 2022 or most likely Q1 2023. ","October 22, 2021",Porsche Macan
soxboy,I am waiting call back from my OPC about seeing a physical new one but got heard anything. Hesitant about a £3k deposit right now without seeing one. ,"October 23, 2021",Porsche Macan
neilf,"Gen 3 is at dealers.My local OPC has a 2.0 and GTS demo, strangely in almost identical spec. ","October 25, 2021",Porsche Macan
Nigel Worc's,"What ho chapsJust a quick request for feedback, my mate is looking at Macan modelsMay I ask for any advice/ feedback on these cars please ?Plus points, bad points, any issues, things to look out for ?This is the kind of thing he is looking at :https://www.autotrader.co.uk/classified/advert/201...Many thanks in advance ","January 07, 2019",Porsche Macan
Cheib,Link appears to be broken!If he’s looking at a Diesel read up on DPF issues...apparently not suitable for frequent short journeys because filter doesn’t get up to temp.I’ve got a Turbo PP which I love. Sweet spot in the range is the GTS. The 2.0 petrol cars lack a bit because they engine is a but ordinary IMHO but you get the Macan quality and chassis which is second to none in its class. ,"January 07, 2019",Porsche Macan
m88ony,I have had a Macan S Diesel for over 3 years for the Mrs. Great car. Never had an issue with it. ,"January 07, 2019",Porsche Macan
Trevor555,"We had a GTS for a short while.Lovely thing, but only thing that disappointed us was the rain water going into the boot.Open the tailgate in the rain, or with dew on it, and it drips down, and some goes into the boot over my wifes school books.Service manager said they know about it, characteristic of the car sir.Well worth having the full leather option.You then get the whole of the door card in leather, with the stitching going along the top of the panel.Personal thing I know, but I wouldn't buy one without that.Enjoy, lovely cars. ","January 07, 2019",Porsche Macan
W12GT,"Absolutely love my turbo - it does everything so well and is incredibly capable. I tried both diesel variants and the 2.0 petrol and found all lacking in the power I was looking for. The Macan S is a great car but for me the Turbo performance and residuals made sense, the mpg is pretty bad though. I don’t know what I’d swap it for; I’m considering a Rapide or Giulia Quadrifoglio but need to try and get some long test drives before I make final decision. Have a suspicion this will be staying a while though. ","January 08, 2019",Porsche Macan
notsomadmick,"I've had 6 Macans. 2 DS and 4 GTS. I've owned a lot of cars over the years. 15 of them Porsches. I drive fast when it is safe to do so. The Macan GTS - with PASM, PTV+, 20 inch Spyder wheels and 18-way seats is the most complete vehicle you can ever buy. It does more things in one package than any other car can. It's almost a sports car, it can take the dogs, the kids, and goes round corners in a way that defies belief - certainly for an SUV anyway. Don't bother with the sunroof - unless you need it. Full leather is nice to have if you can. Don't bother with air suspension, you loose feel. Don't waste your money on Bose. It's no better than the standard set up - and steals useful floor space in the boot. LEDs are nice to have, but not a deal breaker. The 3.0 DS in similar spec is still a great car. You don't really need a turbo version unless cash is of no concern. Dip you bread it's a buyers market at the moment. ","January 08, 2019",Porsche Macan
