Name,Comment,Date
Scotgc,IMO not in the same segment it’s £95k for the V6 trofeo.,"August 30, 2022"
Col Lamb,For now maybe.Despite 500 + horses the Stelvio and the Merc taxi that is the GLwhatever the Macan is still the one to beat.Come the top of the range Macan EV and any doubt will be eradicated (maybe).,"August 30, 2022"
Jon A,Never had or driven a massa but they all seem to dump money like a Russian oligarch. Some look quite good but at least a dozen other motors I would be buying at this price I think,"August 30, 2022"
Tyrrell,It’s a no from me too.,"August 30, 2022"
pstrat,"I mean, it looks hideous. Is a no from me too","August 30, 2022"
New User,A lot of money and I presume a depreciation disaster. I don't know who the brand speaks to but it doesn't do anything for me.,"August 30, 2022"
martinto8,It's ok but looks like its taken design cues from a Ford Puma. Would say the interior trumps the Macan except those horrible push buttons as gear selectors. That would most definitely annoy me,"August 30, 2022"
homerdog,"I sat in one at Goodwood - agree that it looked like a Puma, the front end didn't work at all; the massive grill and small headlights jarred, IMO. I wasn't particularly keen on the interior either, as it seemed a bit cheap in places.","August 30, 2022"
andreas,"Regardless of how well it might or might not drive, I couldn't live with the looks of the thing.  And I just know that it would lose money at an eye-watering rate!","August 30, 2022"
andreas,"Lads with lots of disposable cash, who haven't yet learned the concept of ""value"".","August 30, 2022"
EDZ,"Obviously I would disagree with most comments said as I have one on order, ""as is human instinct to protect what you have/own against any competitive other"", in fact goes into build next week. Firstly why journalist keep comparing it to the Macan I just don't Know as this fits into its own segment really in a way, as size wise it fits between the Macan and Cayenne and has the largest internal space of most mid size SUV's. As much as I love the Macan and had them for the last 7 years, ( actually had a Porsche of some kind for the last 16 yrs)  it has fallen behind in many ways against more up to date SUV's on the market.  As for people quoting price !! Believe me I have done the exercise price wise, to spec a Macan anywhere near to the what the Grecale comes with and that's taking a few prices from extras on the Cayenne as not available on Macan it comes to over a 100K and still not everything of what the Grecale has. You should also remember that the price quoted by Maserati includes all taxes first registration etc, 3 year servicing and 3 year fully free connectivity, tracker etc all included FOC in that price, so all of that would have to be added to the 100K on the Macan. For me the Grecale ticks all my boxes so I'm giving it a go especially space wise, tech and obviously that 523 bhp.","August 30, 2022"
SAC1,EDZ - what are the depreciation predictions for when the Grecale is 3 or 4 years old?,"August 30, 2022"
