Name,Comment,Date
Jon Shafer,Here you go!Now accepting custom orders for March production..:bigpimp:,"April 18, 2020"
mmlocke,Interesting standard equipment. Has it been confirmed if it will be available for the California carpool stickers?,"January 16, 2020"
Jon Shafer,"That, I can't tell you..:dunno:","January 16, 2020"
Mark Levine,,"February 1, 2020"
Mark Levine,"Sorry should read""pdf'","February 1, 2020"
BCummings,"When will orders be acceptedI've done the ""build you own"" on the BMW website and my local dealer has taken a deposit, but they are being cagey about when US orders actually open. Where did you hear ""March"" 2020 ? Anyone else actually have factory confirmation that their build is in production?","February 1, 2020"
BCummings,"Jon,If one were to order a custom X3 xDrive30e for March production, what would delivery date be?","February 3, 2020"
reidhester,"all electric range EPA estimates?Hi Jon,What is the all electric range rated at? Thanks.","February 18, 2020"
Shiner21,Looks like they are showing up on dealer lots. 20 of them around the country per Cargurus.,"February 19, 2020"
mmlocke,Now officially on the list of cars eligible for the California carpool sticker:https://ww2.arb.ca.gov/eligible-carpool-sticker-list,"February 27, 2020"
myawn,"Confused by HP rating of PHEVSo I'm confused by why the 2.0L Turbo 4 engine in the X3 non-hybrid is rated at 248HP, but when placed in the hybrid alongside an electric motor, the same (?) engine is rated at only 181HP. What am I missing (other than a basic understanding of HP & Torque)?Also, has a combined gas+electric range for the 30e been published or rumored?","February 28, 2020"
reidhester,"Congrats. Doesn't look like you left much out in terms of options.So with the Spartanburg factory closed down I imagine you've gone on a waiting list, eh?","April 18, 2020"
Closem Joe,"Autoputzer said:Stick with the 19"" tires in a square set-up. (front and back tires and wheels the same)When I ordered Frau Putzer's X3 xDrive 30i, all-season, non-run-flat tires were an option. They're not, anymore. I've had some X3 loaners with run-flats. BMWoB (BMW of Bubbavlle) has a practice of under-inflating the run-flat tires on loaner cars by about five PSI so people don't' complain about the ride (and buy an Audi the next time around).The gold standard for ""ultra-high performance, all-season"" tires is the Michelin PS A/S 4. They make them in 245/50-19. Try to negotiate having them switched for the OE tires as part of new-car prep. Since the OE tires would be sort of new (never driven by a customer), they might be more willing to take them in trade and use them to refurbish an X3 heading to their used car lot.The PS A/S 4's are probably skewed more toward dry pavement performance than other ultra-high-performance, all-season tires. The Continental DWS06+ might be better in the snow.Having that 19"" square set-up gives you the option of doing a four-tire rotation pattern. That will make all four tires were even and make them wear out at the same time. You should get 60k miles out of PS A/S 4's. Keeping the tread depths the same on all four tires will also reduce the slow, steady wear on your xDrive transfer case clutches. At 35k miles, the average tread depth on all four or Frau Putzer's tires fell within a 0.44/32"" window. That window will approach zero at the end of the current rotation stint.BMW recommends 32 PSI in our front tires and 35 PSI in the rear tires for Frau Putzer's X3 xDrive 30i. X3's have close to a 50/50 weight distribution. That lower pressure in the front is for ride quality, not even tire wear. The pressure difference without a weight distribution difference also means the front tire sidewalls deform more, resulting in a smaller rolling diameter in the front than in the rear. Like uneven tread depths, that causes as small, steady grind on those xDrive clutches. If you can tolerate the ride, I'd try using the same tire pressures front and rear. Non-run-flats at 35 PSI front / 35PSI rear will still ride way better than run-flats at 32 PSI front / 35 PSI rear.The downside of the DWS06+ is that they'd need a lot more pressure to wear evenly than the PS A/S 4's. I've gone through three sets of Continentals, two sets of Goodyears, two sets of Bridgstones, and 5.5 sets of Michelins. I also dial in my pressures for even tire wear... a process I call ""Tire Whispering."" The optimal pressure varies greatly between the brands of tires.I'll likely go with PS A/S 4's when Frau Putzer's OE Bridgestone Dueler H/P Sport AS's were out.Click to expand...I'm also getting the PS A/S 4's non-run flats on both of our Bimmers when it is time to buy new rubber. We've gotten use to the run flats but know there will be a postive change when we change over!","December 9, 2022"
Autoputzer,"Not just a positive change, a ""profound"" change.For whatever reason(s), the new U11 X1 only comes with non-run-flat tires.Build Your Own – Choose Exterior Color & Wheels – BMW USA","December 9, 2022"
Z4530i,"That’s our setup on my wife’s 2020 X3 M40i. I have a 07 Z4 3.0si with summer performance staggered tires and aftermarket struts/coils. As to performance, unless you’re going to track the car, you probably won’t get to the difference point. I push her car through curves (without her in it) and it does very well. Doesn't hurt to have all wheel drive, and the “sport” selection option, plus the hp to pull you through the exits. Two other comments. There’s not much performance all season RFTs available in this size. The two brands I found were not rated very well, so I went with Michelins that are SL versus XL. You definitely do not want summer performance tires in that climate. They turn to bricks as the temps drop below 34 degrees (speaking from experience).","December 9, 2022"
moRider,I've been pleased with the Continental DWS06+ (all seasons) which replaced my summer RFTs. Huge difference in ride quality and I haven't noticed any real difference in handling (better traction in turns but probably due to more tread when I replaced the worn rears).,"December 9, 2022"
dwhbeach21,"LarryNC said:I have a new 2023 X3 M40i on order with the standard 19"" wheels / all season run-flats. Also added the spare tire option. We made this choice for the following reasons-We live in the Charlotte NC area and get very little snow, however temps drop below 45 degrees from Dec-Feb.We have family in IL and MI that we'll be visiting more often in the coming years (new grandchildren coming + elderly parent).For those reasons, we'd be concerned with a ""performance tire"" setup, then having the need to drive the car in the ""winter"" season (in Charlotte and on trips to IL/MI).We do not want the hassle of a separate set of winter tires. Been there, done that with the 335 when we lived in Chicago.Our other car is a 2012 335i with Pirelli Cinturato P7 all-season run flat tires; We have no problem with them for the way we drive. The car is fast and handles well.I have driven a 2020 X3 M40i with 21"" wheels and performance run flats - and the car felt amazing all around!I realize that 20"" or 21"" tires look better and put more rubber on the road, thereby maximizing performance, handling, etc. I very rarely drive aggressively or spirited (but do on occasion).And now the question- how much performance / handling etc will I lose by going with the 19""s and all-seasons? I am thinking when it comes time to replace the stock tires, I will upgrade to a 'performance all season' type tire.Appreciate any thoughts, feedback, and suggestions. At this time, the new car is in status 112 - Scheduled for Production, so I have a small window of time if I want to make any changes. At this time, I believe the 19"" all-seasons are the best option for us.Click to expand...I bought my 2021 X3 M40i off the lot that had 21"" rims with staggered summer tires (OEM Bridgestone Alenza). They ran nicely, however unlike most folks, we relocated away from FL back to MO and I had to get winter tires this week. What a pain to find! I finally bought Pirelli Sottozero 3s and although expensive they ride better than the Alenzas. Even though the 21"" 718 rims look amazing, I would suggest 19"" and not staggered, or 20"" rims. Even with 20"" your all-season options are much better than with 21"". In fact, you can't get all-season tires for the 21"" rims in a staggered set up. Only winter.","December 9, 2022"
Magile,"Late last year we took delivery of a '22 X3 xDrive30i with 20"" Run Flat Summer Perf tires. I immediately ordered Michelin PS4 All Season, Non RF 20"" tires. The dealer agreed to mount & balance them at no additional cost. I sold the RF's to a local X3 owner who was turning in his 3 y.o. lease vehicle. Priced at 1/2 the Tire Rack. GLWS - MSee""20"" Bridgestone ALENZA 001 RFT for Your Lease Return""Wheels & Tires -Classifieds","December 10, 2022"
LarryNC,"Autoputzer said:Stick with the 19"" tires in a square set-up. (front and back tires and wheels the same)The gold standard for ""ultra-high performance, all-season"" tires is the Michelin PS A/S 4. They make them in 245/50-19. Try to negotiate having them switched for the OE tires as part of new-car prep. Since the OE tires would be sort of new (never driven by a customer), they might be more willing to take them in trade and use them to refurbish an X3 heading to their used car lot.I'll likely go with PS A/S 4's when Frau Putzer's OE Bridgestone Dueler H/P Sport AS's were out.Click to expand...Thanks. Excellent info and advice! Much appreciated!","December 10, 2022"
LarryNC,"Thanks. We've had the Pirelli Cinturato P7 RFT performance all seasons on my wife's 335i for 6 yrs and they've been great. We've never had non-RFTs on this car, and the RFT has save our a$$ a couple of times. the X3 will have a spare so I'm more comfortable moving to non RFTs there.","December 10, 2022"
LarryNC,"Does anyone know what tire they are putting on the new 2023 X3 M40i that is ordered with 1VU- 19"" 887M with ""All season RFT""?","December 10, 2022"
Autoputzer,"BMW likes to have multiple suppliers for any specific type and size tire.I punched ""2023 BMW X3 M40i 19-inch"" intoTireRack.com, and it showed the usual suspects as making a ""BMW Star"" run-flat, all-season tire: Bridgestone, Pirelli, and Michelin.Tire Search Results (tirerack.com)","December 10, 2022"
Autoputzer,"Magile said:Late last year we took delivery of a '22 X3 xDrive30i with 20"" Run Flat Summer Perf tires. I immediately ordered Michelin PS4 All Season, Non RF 20"" tires. The dealer agreed to mount & balance them at no additional cost. I sold the RF's to a local X3 owner who was turning in his 3 y.o. lease vehicle. Priced at 1/2 the Tire Rack. GLWS - MSee""20"" Bridgestone ALENZA 001 RFT for Your Lease Return""Wheels & Tires -ClassifiedsClick to expand...That's a good idea. Getting $0.50 on the $1.00 for take-offs is pretty good.Another path would be to let your BMW salesman and service writer know you have some OE spec' take-offs for sale. Both salesmen and service writers might have customers who'd need them.There used to be an on-line used tire site,BestUsedTires.com. Lessee customers needing tires for lease turn-in tires were probably a big part of their business. But, it looks like they didn't survive the COVID lockdown-smackdown. Their link now bounces you to a new-tire retailer.","December 10, 2022"
mtbrdad,"LarryNC said:I have a new 2023 X3 M40i on order with the standard 19"" wheels / all season run-flats. Also added the spare tire option. We made this choice for the following reasons-We live in the Charlotte NC area and get very little snow, however temps drop below 45 degrees from Dec-Feb.We have family in IL and MI that we'll be visiting more often in the coming years (new grandchildren coming + elderly parent).For those reasons, we'd be concerned with a ""performance tire"" setup, then having the need to drive the car in the ""winter"" season (in Charlotte and on trips to IL/MI).We do not want the hassle of a separate set of winter tires. Been there, done that with the 335 when we lived in Chicago.Our other car is a 2012 335i with Pirelli Cinturato P7 all-season run flat tires; We have no problem with them for the way we drive. The car is fast and handles well.I have driven a 2020 X3 M40i with 21"" wheels and performance run flats - and the car felt amazing all around!I realize that 20"" or 21"" tires look better and put more rubber on the road, thereby maximizing performance, handling, etc. I very rarely drive aggressively or spirited (but do on occasion).And now the question- how much performance / handling etc will I lose by going with the 19""s and all-seasons? I am thinking when it comes time to replace the stock tires, I will upgrade to a 'performance all season' type tire.Appreciate any thoughts, feedback, and suggestions. At this time, the new car is in status 112 - Scheduled for Production, so I have a small window of time if I want to make any changes. At this time, I believe the 19"" all-seasons are the best option for us.Click to expand...I have an 18 m40i with the 19"" tires after almost 4 years with this car I would recommend getting the 20"" with all season no-run flat tires and you'll be set to go. The only reason I would get the 19"" rims would be to put snow tires on them.","December 10, 2022"
Autoputzer,"That's not one of the choices onBMWUSA.com'sfigurator. There is a 20"" high-performance, non-run-flat option, but it's only available with black wheels.One of my gripes is BMW doesn't offer performance tires in a square set-up. I'm militant about having a square set-up, so I can wear out and replace four tires at a time. I'm more militant about a square set-up for xDrive, so I can keep the tread depths the same and minimize the light but steady wear on the xDrive clutches.","December 10, 2022"
mtbrdad,Well shoot then just get the 20” in whatever color with the run flats and when tired of the run flats tires put 20” all season non run flats on. The op is asking what’s the best tire size for an m40i and as I’ve stated I do not consider the 19’s to be the best size for this car.,"December 10, 2022"
Autoputzer,"In the perfect world... Putzervania... I'd want 20"", silver wheels, square set-up, non-run-flat, all-season, ultra-high-performance tires (e.g. PS A/S 4's).I was surfing around onShopBMWUSA.comlooking at winter tire packages to respond to a post. For the more expensive set up (maybe 20""), they offered the package in pairs (front size or rear size). That way, shoppers could order two front pairs and have a square set-up, or order one pair of fronts and one pair of rears and have a staggered set-up. I thought wouldn't that be cool if you could do that for new BMW's.","December 10, 2022"
jsarnold1234,"I live in Indiana and didnt want to mess with summer and winter tires, so I have the all season ""option"" also. Realistically an X3 can't outcorner those tires anyway so it wasnt worth it to me","December 13, 2022"
jsarnold1234,I should edit my profile -- 2019 X3 M40i is my current ride,"December 13, 2022"
rick47591,"Before you decide on a tire when ordering your next BMW, I urge you to go totirerack.comand look at the factory OEM tires for each size offered. What you'll find is that 19"" all weather tires have a speed rating symbol of H which is 130mph. When you go up to 20"" tires, the speed rating symbol of W which is 168mph. BMW will adjust your top speed based on your tire symbols & size. BMW told me this how they determined which vehicle received a higher top speed.Since I have a heavy foot, I went with the 20"" wheels to ensure my X3M40i would be given a top speed of 155mph. Otherwise I would have been given a 130mph top speed had I chosen the 19"" all weather tire.","December 14, 2022"
moRider,"rick47591 said:Before you decide on a tire when ordering your next BMW, I urge you to go totirerack.comand look at the factory OEM tires for each size offered. What you'll find is that 19"" all weather tires have a speed rating symbol of H which is 130mph. When you go up to 20"" tires, the speed rating symbol of W which is 168mph. BMW will adjust your top speed based on your tire symbols & size. BMW told me this how they determined which vehicle received a higher top speed.Since I have a heavy foot, I went with the 20"" wheels to ensure my X3M40i would be given a top speed of 155mph. Otherwise I would have been given a 130mph top speed had I chosen the 19"" all weather tire.Click to expand...LOL, if only there were roads in my area where I could take my car to 155mph","December 14, 2022"
LarryNC,"Thanks for the info. I was aware of this, and it is not a concern for us. We won't take the car on a racetrack. I love the M40i for it's ability to very quickly pass a tractor trailer going up hill on the interstates around here (while heading north or west, which we do often). When doing this in our 335i, I can get the car up to the upper 90s or maybe even 100 for a brief moment in time, then it's back to about 9 mph or so over the speed limit. I cannot envision a scenario where I'd approach 130 mph let alone 155. Am I missing something here?","December 15, 2022"
Closem Joe,"No, you're not missing a thing! You're just a smart man with a good head on his shoulders!And, that's how you stay alive.","December 15, 2022"
Autoputzer,"rick47591 said:I don't approach 130 or 155 on a daily basis but sometimes when traveling, I seem to always encounter the one driver that decides he/she is not going to let me pass them. I usually slow down the first time they do this but when they slow down below the speed they were initially going when I wanted to pass them the first time, I decide right then to stomp it and blow their doors off. I've been given the middle finger many times and then as I just wave and smile, I get away from them and never see them again.I've also encountered the driver that decides to ride my rear bumper after passing them. I recall one time when I passed someone that was driving 65mph in a 70mph zone and right after I got around them, they were on my tail while I was at 75mph. So I sped up to see how fast they wanted to go and as I approached 105mph, my radar detector lit up so instead of hitting my brakes and slowing down, I turned on my right turn signal and as I pulled onto the shoulder and began to slow down, the other driver passed me and was laughing. I got the last laugh within 1/4 mile. He was getting pulled over by highway patrol.Click to expand...I had problems like that when I had my M3. People driving POS's felt the need to prove their POS was just as fast as an M3: Suburbans, Subaru Foresters, S10 Blazers (not Cyclones), FWD Impalas, Chrysler minivans, etc. They never wanted to prove they're faster than an M3, passing me and getting out of my life. Instead, they'd stick close behind me... too close.","December 18, 2022"
