Name,Comment,Date
cue2,"Saw three Stelvia in a couple of days in Spain last week, and no Giulias. Looks ok.","July 24, 2023"
dcjarvis,"They had a couple of them at the dealers yesterday when my old man picked up his nbew Giulia Veloce (which was pretty special tbh!).It does look like a BIG car from the front, but inside feels more or less like the Giulia. Boot is a decent size (compared to my 3 series touring) but is a little bit narrow. My verdict was ""Steve"" is a good choice if you like that sort of thing...","September 2, 2017"
cue2,"Car Magazine tested it and it becomes clear why it needs to be competitively priced; the interior is not quite up to the standards of the Audi or Volvo. But it sounds like it drives well, if a little firmly, so if you actually use it rather than sit using the infotainment it could be nice.","September 2, 2017"
PapaSmurf,"The official launch is next Saturday but there are cars in (some, probably all) dealerships & orders have been open since 1st Aug.","September 2, 2017"
JTD_Liam,"Ahh right, I'll cut Alfa a bit of slack for now then. But it wouldn't have hurt to give the press RHD versions for UK road testing I think. It's really not nice driving a LHD vehicle in the UK, and Alfa don't want to give journalists any excuse to get the car marked down.I've seen a couple of dealers post online this evening saying they now have their RHD cars in stock, and unlike with the Giulia it looks like Alfa has supplied more eye-catching white & Misano Blue models. Now all they need to do is a launch advert this week. Trouble is they don't have enough dealers to get too many people through the doors at once :idea:","September 2, 2017"
JTD_Liam,"I thought I'd not seen Misano Blue on the configurator. Having checked, it's not on there, but one of the dealers has a RHD one in Misano. And there was a pretty nice dark green in the brochure but that's not on the configurator either. And when you look at the Stelvio offers it says 'click here for our offer for the Stelvio Milano Edizione' but when you do it redirects to a blank pageIs it just me or does stuff like this really aggrivate!? Have they got anyone in that HQ in Slough that actually wants to be there? :curse:","September 2, 2017"
cue2,"Alfa build batches of cars to get stocks up for launch. The salesman who handed over my new Giulietta told me about the batch of blue diesel Giulietta autos with red leather the uk got sent for the latest model without asking for them. They sat around for ages, in fact I got one as a loancar recently which must have been in the showroom for a while!","September 3, 2017"
Biscione1750,At least ARUK has a configurator on its website. There are no configurators on the Australian website :disappointed:,"September 3, 2017"
JTD_Liam,That's shocking. I guess it's down to the Australian importer. Seems poor though,"September 3, 2017"
OperationAlfa,Australia and New Zealand are always one of the last markets to receive the cars. Japan is usually the last market.,"September 5, 2017"
David WB,"Squadrone Rosso said:Saw 5 in France last week.Every one had the front wheel arch protectors either missing or hanging off with no signs of impact damage.Both sides seem affected.Must be a common build issue thenClick to expand...Given the Stelvio has been around for a 'while' on the continent, one would hope this issue has already been resolved.","September 5, 2017"
Squadrone Rosso,I admire your optimism lol,"September 5, 2017"
TheGrimJeeper,Squadrone Rosso said:Saw 5 in France last week.Every one had the front wheel arch protectors either missing or hanging off with no signs of impact damage.Both sides seem affected.Must be a common build issue thenClick to expand...It's an SUV. Those parts are sacrificial and meant to come off in the rough stuff. :thumbs:,"September 5, 2017"
typos1,"No, its a fake SUV !","September 5, 2017"
Unkle Munkle,"Apart from the two I saw at Goodwood earlier this year, I've seen two on the road in France in August. One met grey and one met blue. The met blue one looked really nice.Not really a car for me but I understand why Alfa are doing it - they need to compete and the SUV market is where it's all at (for some reason)!","September 8, 2017"
Scotital,Saw at least a dozen in and around Turin 2 weeks ago; none of them had bits hanging off...,"September 14, 2017"
cue2,"Saw three Stelvia in a couple of days in Spain last week, and no Giulias. Looks ok.","July 24, 2023"
alfa 4 ever,alfa romeo need to do cars like this to survive,"September 14, 2017"
Squadrone Rosso,"Given most there will belong to FCA, I'm not surprised:lol:","September 14, 2017"
cue2,Not just for their employees in Turin to drive though.,"September 14, 2017"
cue2,"It is a bit lumpy. The shape of the chrome around the windows is not that sweet, for example.","September 16, 2017"
Ruskins,French cars having bodywork damage shocker ....,"September 20, 2017"
Squadrone Rosso,Not every one though!!,"September 20, 2017"
GlasgowMito,Saw one in Lisbon and was pleasantly surprised - dark grey metallic with yellow break callipers and the biggest alloys - looked smart and the front looks much better in the metal that it does in photos.,"September 20, 2017"
jparkin486,1st spot of a Stelvio in the wild this afternoon. A white one heading west towards Swindon!I did wave but I was heading east! :thumbu p:,"September 29, 2017"
smarty156,Spotted a red Stelvio on the A2 approaching the M25. We were the mad family smiling and waving in a grey Giulietta (courtesy car while my Giulia Quadrifoglio is in for a software update).Got smiles and thumbs up back.,"October 1, 2017"
matty74,White Stelvio M61 Northbound last night in torrential rain. I honed in on the rear lights from distance and wondered “is that a Stelvio” much to my satisfaction it was. It made the self parking VW square SUV behind it look very very ordinary indeed.Sent from my iPhone using Tapatalk,"October 5, 2017"
stuartm2007,"Saw a Stelvio in Bordeaux near airport on Saturday, looked up local dealer and despite rush for flight detoured there - they had LOADS of Stelvios, probably 8 or 9 in the car park, presumably awaiting delivery to customers. Oh, and not a Fiat 500 to be seen - joint dealership with Maserati.","October 9, 2017"
cue2,Panto time ?Stelvio in Boots!,"October 12, 2017"
OperationAlfa,Still not seen one on the road here in Essex. Can't be many around.,"October 17, 2017"
PR,Followed a blue Stel past Wynyard then south on the A19 last night (Wed 18th Oct),"October 19, 2017"
Giulietta 64,it surely is,"October 20, 2017"
bernas68,WOW!How does that Missano look like in real life?,"October 20, 2017"
cue2,"Saw three Stelvia in a couple of days in Spain last week, and no Giulias. Looks ok.","July 24, 2023"
cue2,All I can see is the famous mango sticker. What a liberty!,"October 21, 2017"
typos1,I m sure they pay the owner every month for the advertising !,"October 21, 2017"
Alfisti Luso,it's stunning! :thumbu p:,"October 25, 2017"
