Name,Comment,Date
AndyC160,"The search for a replacement to my current Macan 2.0 hots up....This GTS has been on my radar for a while:https://finder.porsche.com/gb/en-GB/det ... =price_ascNot a massive spec but I like the idea of keeping it simple on a GTS and it visually stays true to the GTS with the spyder alloys, GTS interior, although I really want it with extended leather.And I know the spare and 75 litre tank wasn't ticked when new, but....Does anyone know the car or owned it previously who could give me a bit of history and whether it's worth the long drive up to see it?Also, how are Perth to deal with?Reg is NA70YFN","July 06, 2023"
2japs,"NA registered cars are from my neck of the woods, Newcastle. Why don’t you give OPC Newcastle a call and see what info they can give you?","July 07, 2023"
wab172uk,Looks very dull. Dull Grey with Black wheels.Much nicer examples out there. Personal opinion of course.,"July 07, 2023"
Col Lamb,Personally I would avoid any Macan with only 8 way seats which this one has.,"July 07, 2023"
SAC1,The 8-way GTS are fantastic. So comfortable and the right amount of body grip for the GTS' cornering forces without the seat bolsters being too high. The Race Tex centres are cooler than leather in summer and warm in winter.,"July 07, 2023"
AndyC160,"Yes, I have 14 way comforts with memory in my current one. Maybe use the memory a couple of times a year which is handy...after it's been in for a service etc. Would I really miss all the adjustability? Is it such a compromise?I also have the 75 litre tank and reversing camera. I would like the bigger tank again for when we go up to Scotland and other long trips. Reversing camera...not a massive deal breaker especially with the issues of leaks that people have had on Gen 2 & 3.","July 07, 2023"
Wing Commander,"Grey is a popular choice though.Personally, I’d seek out a Carmine Red!Cheers,","July 07, 2023"
AndyC160,"There is one in Carmine but its much higher mileage at over 42k and I want one below 20kMost GTSs and Turbos are black, white and grey. Not a fan of sapphire. Highlights the real lack of colours porsche offer unless you want to spend big on pts","July 07, 2023"
Wing Commander,"Sapphire would be my second choice after Carmine.(Unless Python was in the running.)Cheers,","July 07, 2023"
bennachie,Speed Yellow,"July 07, 2023"
2japs,"Aye, choice of std/ lower cost met colours isn’t the best,  try buying a Mercedes tho… arrrh….You won’t pay much of a premium ( if any)for carmine or crayon, also there are availability in Miami around your price area.","July 07, 2023"
Wing Commander,Yup.  That one looks good too.,"July 07, 2023"
wab172uk,"Got invited by Porsche centre Teesside to test drive the Taycan, and enjoy an afternoon tea at a very nice hotel.I've been sceptical of EV's from the start, so was expecting to hate the drive. But thought it'd be interesting to have a go and keep an open mind. The Taycan itself looks pretty good. Certainly one of the best looking EV's on sale today.I have to say, I was pleasantly surprised. Not what I was expecting. The ride quality was excellent, but being a Porsche I did expect that. The silence and lack of engine noise did feel strange, and have to say, without the radio on, you do hear a lot of tire noise and wind noise. Having the radio on, which most of us will have on most of the time, then it was less noticeable.  Sport plus mode brought some noise which improved things, but still no substitute for a proper engine noiseThe bits I didn't like, was the controls. The lower centre screen was ok. Yes everything is just a screen with haptic buttons, but worked pretty well. The sat-nav screen wasn't as easy to use as in the Macan. But the thing I hated the most was the controls for the lights being haptic buttons on the screen behind the steering wheel. I just don't see the point. Hard to press when the car moving around on the road, so eyes are taken away rather the reaching down for a toggle switch. I guess most people will just leave in auto-mode.The thing I was most impressed by was the acceleration. Any small gaps in traffic, and you're never out of revs, off boost, or waiting for the gearbox to downshift. It made overtaking a split second decision, and thus making progress really easy. I did notice that I was always on the brakes. When cars in front lift off, there is obviously no engine braking, so you're constantly on the brakes when you wouldn't normally be. I expect disc and pad wear to be far greater on EV's compared to ICE cars.The range. On collection it was stating 228 miles, and I was assumed it was fully charged. So I'm assuming the demo cars get driven pretty hard, as I was expecting to see better range than that. Considering my Macan shows up with around 390 miles of range on it's 75l fuel tank. Though TBH, it's not been driven that hard yet.So my conclusion? I was very impressed, and have more respect for EV's than I did before. While it was undoubtedly quick due to the instant power on tap, it did feel just a bit remote compared to an ICE car. Could I live with one? For most of my journeys, yes, it would suit our needs. But for longer trips to Scotland and wales, then maybe not. Not unless you plan trips and hope the charging stations are working that day, and no queue's waiting for them. I still think the infrastructure needs to be rapidly improved. There is one charge port in a car park in Grassmere, and every time I've been there the same car is plugged into the charge port several hours later. So selfish drivers, plugging in, and go off for a days walking, leaving anyone else needing it, stranded.If manufacturers can make EV feel more ICE like, then maybe the future of EV's might not be that bad, infrastructure allowing. But for now, I'll stick to Petrol, and all the benefits, it brings over EV's. But maybe Hydrogen is the answer to get the benefits of both? No charging, and fill up in minutes. Or synthetic fuels. No charging, fill up in minutes, use the millions of existing cars already on our roads, so no scrapping of perfectly good cars. Unfortunately most investment money is being spent on EV's. More need spending on the alternatives. Then we could have several types of cars on our roads benefiting what type of car suits each individual, rather than legislative for EV which a for a lot of people just won't be a viable option.","July 01, 2023"
andreas,"Interesting comments, and somewhat similar to the conclusion JayEmm came to in the YouTube video he put online today...","July 01, 2023"
BZR81,I presume this was yesterday? I was parked next to your Macan at Teesside in the afternoon I think. I should have taken a photo!The Porsche pro mentioned another Macan customer has a problem with their centre console - that’s not you is it?,"July 01, 2023"
wab172uk,"Yeah, it was yesterday. No problem with my console though. Mine was the Blue one","July 01, 2023"
BZR81,"Yeah I noticed your plate when I pulled in and recognised the username!Ah ok I was booked in for a masterclass/extended handover and the the guy asked if I was the one having problems with the console, which I’m not, so I did wonder if it was yours. Seeing our cars along side each other shows how much customisation is available, as they were quite contrasting in appearance, yet essentially the same car.","July 01, 2023"
2japs,"Thanks for the review, not for me, like the look of the rear but not the front! I’m sticking with what I’ve got for the foreseeable. I’m more interested in what you had for afternoon tea, normally fare or a bit special?","July 01, 2023"
wab172uk,"How did the second handover go? I got offered it, but didn’t think I’d learn much else than what I already knew.","July 01, 2023"
wab172uk,"Normal fare TBH. Cakes, sandwiches, and scones. Got a glass of champagne at the start, but took my time with that given I was driving. It’s a nice place, and I think we might go back for an evening meal. Menu looked nice. The Pheasant inn at Harmone. Just outside of Helmsley.To be honest, I was expecting to hate the Taycan, as I’ve been anti EV. But it was annoyingly good. Would I go out and swap my Macan for an EV? No. Would I get a new Macan EV in a few years? No. Not while there are ICE alternatives. Impressed, but not converted !","July 01, 2023"
2japs,,"July 01, 2023"
bennachie,"You must know someone.  Lots of visits to and purchase from OPC Teesside since they opened.........................Nothing, NadaTyneside MUCH more accommodating - I may have to return north of the tunnel.............. or try t'Leeds","July 01, 2023"
BZR81,"Yeah pretty much that. It was just really an extended version of the initial handover. I’m only 30 mins from Teesside so it filled an hour on a Friday afternoon. He said when I booked it to do a little list of any queries I had. He put my car inside, not the handover bay, but another one round on the side that faces the main road. Anyway he just went through all the buttons switches compartments etc right round the car but the only real query I had was to do with the PCM not logging my Porsche ID in all the time. He fiddled about with it for a bit and we established that it seemed like the pcm and CarPlay were fighting over the connection. Didn’t really get it resolved but I don’t think it’s a major thing.","July 01, 2023"
MCDK,Picked up my Taycan GTS 2 weeks ago. Great to be back in a Porsche and it’s a truly unbelievable car. S o fast and composed.,"July 01, 2023"
