Unnamed: 0,Comment,id,date,Pos,Neg,Neu,Car brand,sentiment_score
1,"I'm not sure I have ever commented on a video, but I wanted to say..... This video convinced me to buy this car.  The audio of the exhaust was on par, and sold me.  There were 3-4 other videos I love too, but this one sold me overall.  Thank you guys, so much.","
 @charlesconnor1737
 ",3 years ago,0.207,0.07,0.723,Alfa Romeo,5
2,I’ve always done the cup holder test in all my cars when buying ... difference my concern was always if I could fit 2 large ice coffees without them interfering with each other... you guys make awesome videos and you were definitely a factor in the current vehicle I just bought... thanks for the videos,"
 @gllegacy87
 ",3 years ago,0.206,0.0,0.794,Alfa Romeo,4
3,"I absolutely love the design of the Stelvio and the Giulia and 4C.  The Giulia would be on my list of cars for my next purchase, but I'm just having trouble getting past the whole FCA thing.  I've had so many Dodge and Jeep vehicles as rentals and I just hate everything about them.  Fit, finish, feel, everything.  And I know, different company, but are they really?  Look at those stocks, their out of the Chrysler parts bin.  Plus, I'm definitely worried about reliability and cost of ownership.  Maybe they'll prove me wrong and I'll reconsider, but for now, I can't put AR on my list :-(  They look like such great cars to drive.","
 @driftattack11
 ",4 years ago,0.133,0.136,0.731,Alfa Romeo,2
4,"I believe the reason behind the column mounted shifters is that traditionally, a person should not be shifting mid-corner. They should be putting the car in the right gear before the turn, and focus on balancing the car through the turn rather than upset the car with gear shifting. Correct me if I'm wrong! Great review as always, please do the Giulia next!","
 @Black2005Lotus
 ",4 years ago,0.1,0.082,0.818,Alfa Romeo,4
5,"Finally! As a previous 4C Spider and now Giulia Quadrifoglio owner, I was waiting for you two to do an Alfa review!  I honestly believe the Giulia is the best 4 door car in the world. It’s like this Stelvio with less weight and a lower center of gravity. It’s a daily commuter when you need it and a race car when you want it- long live Alfa Romeo!!","
 @DrachenBlasen
 ",4 years ago,0.171,0.027,0.802,Alfa Romeo,5
6,"if they liked this one so much, they are going to fell in love with the Giulia Quadrifoglio","
 @agh8459
 ",4 years ago,0.304,0.0,0.696,Alfa Romeo,3
7,"I just got myself a Giulia QV about a month ago and I'm completely smitten... yes, I'm an Alfaholic. 



Can't wait to see your review of the Giulia, it's an amazing car. One note though; I actually didn't go with the CF seats because I found the ""standard"" sport seats to be really bloody good and better for longer-distance cruising (headed to Milwaukee this weekend in it). But totally agree on the brakes!","
 @automobilistafi
 ",4 years ago,0.162,0.027,0.81,Alfa Romeo,4
8,"Last autumn I rented an Abarth 595 for an alpine roadtrip, and unfortunately they did not have any. So Avis gave us an Stelvio 2.0 with 280hp. I wasn't super excited since I thought the abarth would have been more fun, but holy shit. Hands down the best driving SUV that I have ever driven. I have thousands of kms from an x3 and glc plus some in a q5. And they are just boring, floaty cars.
The stelvio is dynamically on a totally different level, even the base model. I had the same reaction when I testdrove the Giulia. So good. Good enough that I just don't care that an x3 has a better interior quality or that the merc is quieter (btw atleast 2019 glcs don't have lining in the doorpockets, you get that shit on a golf even. Smh mercedes)

One point a cayman as was behind us going downhill and he only overtook us when we started to slowdown to save brakes. The old geeza honked and waved I guess he also enjoyed blasting down a mountain with an suv. Oh and yes our rental Stelvio visited the Stelvio.","
 @fabianherrmann6398
 ",4 years ago,0.163,0.11,0.727,Alfa Romeo,4
9,"Beautiful car with amazing performance. You have captured it very nice, especially the great sound. Here in Germany there are a few Alfas and I have been up close to one Giulia Quadrifoglio last year and it is just as amazing. However, the SUV craze is still true and I have seen a ton of Stelvios lately, but very few are Quadrifoglios.","
 @dsounds1
 ",4 years ago,0.21,0.02,0.771,Alfa Romeo,4
10,"Nice review guys. BTW. carbon ceramic brakes are mostly about endurance, persistence. They don't fade like the normal ones, when you push the car into the corners really hard, or on the track. Not really sure if they ""bite"" better or not.","
 @sureshotsteve1
 ",3 years ago,0.117,0.123,0.76,Alfa Romeo,4
11,"Got a test drive on my birthday and couldn't wipe the smile off my face all day. I was blown away and the sound of that motor is magical. My wife ended up getting the edizone package black with red leather in the normal engine which is still a blast to drive, love it.","
 @mr.gratitude7594
 ",3 years ago,0.076,0.038,0.886,Alfa Romeo,5
12,"I've never once been interested in Alfas but since this video I must say I am impressed and those rims are just perfect. Y'all sold me with the Glc63 too, I love that engine sound...","
 @slesperado
 ",2 years ago,0.336,0.037,0.627,Alfa Romeo,5
13,"I test drove the Alfa Romeo 4C a few weeks ago and it was the absolute best experience I've ever had in a car.  You seriously have to DRIVE that car!  There is no mechanical assistance for anything.  The interior is surprisingly roomy too.  I own a 2010 Audi TT-S roadster.  My Audi TT-S is a two-seater, and the Alfa Rome 4C has a LOT more space than my Audi.  I also loved that the turbocharged engine was directly behind my head so I could hear all of the sexy noises.  I wish I had an extra $60,000 so I could buy hat Alfa Romeo 4C.","
 @dinu6692
 ",4 years ago,0.155,0.036,0.809,Alfa Romeo,5
14,"Nice review but I would love to see more content and emphasis on pros and cons; and most importantly in comparison with its competition: Macan Turbo PP, GLC 63, and upcoming f-pace SVR. Performance crossovers are getting better and better: driving almost like a sport cars with added practicality,  visibility and all year car!","
 @dogdoc1
 ",4 years ago,0.322,0.0,0.678,Alfa Romeo,3
15,"I'm glad you guys liked the vehicle; I thought you might.  The first production run of the Alfas were problematic, as in many new models, but they subsequently improved. Been there, done that.  Will you review an Alfa Romeo Giulia Ti?  It will be interesting to hear what you think....","
 @swissmrkc
 ",4 years ago,0.202,0.034,0.765,Alfa Romeo,4
16,"Glad you guys like this so much, the when looking for all-wheel SUV was on shortlist the (non quadrifoglio).  You can get a low mile one or two year old stelvio for the low 30s.  The reliability scares the junk out of me, value drops like a rock.  And also the dealer networking you either are selling this in Uber high-end dealers where they just don't playcate to the common customer.  where they're being sold in like the Fiat dealers where they also don't really know the car.  A lot of customers are getting turned off by the dealer experience even buying used CPO","
 @amyhwang383
 ",4 years ago (edited),0.115,0.059,0.827,Alfa Romeo,1
17,"You two look so happy driving this..How I feel when I get into my 4C version daily. Love your enthusiasm! Love this car so much, glad you guys enjoyed it too :)","
 @mavsguy842
 ",4 years ago,0.53,0.0,0.47,Alfa Romeo,5
18,"You’re absolutely correct, the Quadrifoglio sounds amazing. I think I’d be leaving the parking garage everyday in race mode just to hear the exhaust. 

I wish you actually spent more time talking about the wheels, because they are unreal. They look so delicate, and allow you to see the brake calipers all the time.

How was the back seat? You mentioned getting into it, but we don’t see how roomy it is. If I was going to lease a luxury SUV, this would be high on my list for the fun factor.","
 @dextersmith8434
 ",4 years ago (edited),0.122,0.017,0.861,Alfa Romeo,4
